OrderID,OrderDate,Product,Quantity,UnitPrice,Region,SalesRep,Status
ORD-100354,"Oct 18, 2024",Gizmo Pro,3.0,109.35,  West  ,Alice Khan,Pending
ORD-101805,2024-08-20,Thingamajig,1.0,345.62,West ,Dana White,  Pending  
ORD-101859,"Nov 10, 2023",widget a,-1.0,285.6,East,  Evan Brooks  ,
ORD-101249,11-06-2023,Sprocket,2.0,$349.95,West,Fiona Grant,Completed
ORD-100046,03/13/2023,Sprocket,2.0,228.07,SOUTH,Dana White,Pending
ORD-101775,2023-11-21,  Gadget X  ,1.0,341.65,north,Alice Khan,Pending
ORD-101826,2024-10-19,Sprocket,-1.0,$420.34,South,  Evan Brooks  ,Completed
ORD-101586,"Nov 02, 2024",Gadget X,1.0,162.16,South,alice khan,Cancelled
ORD-100018,2024/07/19,Doohickey,1.0,N/A,,Bob Smith,Cancelled
ORD-101257,05/24/2024,widget a,2.0,$5.43,north,  Dana White  ,Completed
ORD-100627,"Oct 26, 2023",GADGET X,2.0,43.03,West,Fiona Grant,Completed
ORD-100374,2023/07/01,Gizmo Pro,2.0,301.91, East,Alice Khan,Completed
ORD-101190,2024-09-12,Gadget Y,1.0,,  East  ,Bob Smith,
ORD-100994,"Jun 22, 2023",Gadget X,2.0,91.53,South,  Bob Smith  ,Completed
ORD-100142,27-06-2024,Widget A,1.0,61.75,West,Alice Khan,Refunded
ORD-101608,09/27/2024,Gadget X,4.0,379.81,West,alice khan,COMPLETED
ORD-101390,"Jan 02, 2023",Gadget Y,1.0,497.17,SOUTH,Charlie Lee ,COMPLETED
ORD-101626,21-03-2024,Sprocket,1.0,293.45,North,  Charlie Lee  ,Completed
ORD-100281,2023/06/29,Gadget Y,4.0,281.52, East,Evan Brooks,Completed
ORD-100139,02/07/2024,Gadget X,3.0,7.95,South,Evan Brooks,completed
ORD-100313,08/26/2023,  Widget B  ,2.0,328.84,East,,Refunded
ORD-100114,"Jul 20, 2024",  Gizmo Pro  ,1.0,220.76,  West   ,Charlie Lee,  Completed  
ORD-100261,01/26/2023,Gadget Y,-1.0,$136.48,,Alice Khan,
ORD-100107,"Dec 13, 2023",Thingamajig,1.0,69.39,,Evan Brooks,Pending
ORD-100572,04/03/2023,Thingamajig,2.0,471.21,East,alice khan,Completed
ORD-100395,"Nov 06, 2024",Thingamajig,4.0,,West,alice khan,Completed
ORD-100938,07/29/2023,  Gadget Y  ,2.0,-298.35,East,Fiona Grant,Refunded
ORD-100645,01-04-2024,GADGET X,2.0,$63.19,West,Charlie Lee ,Refunded
ORD-101613,2024/09/11,Doohickey,1.0,225.22,north,Fiona Grant,Completed
ORD-101623,2024-05-29,Gadget X,1.0,424.75,,Bob  Smith,  completed  
ORD-100880,26-03-2023,  GADGET X  ,1.0,258.83,North,Bob Smith,Completed
ORD-100773,19-09-2024,  Gizmo Pro  ,0.0,251.89,North,Dana White,  completed  
ORD-100902,19-08-2023,Sprocket,0.0,155.19,North,Bob Smith,  Completed  
ORD-101674,2023/12/16,Gadget Y,,48.46,West,,Completed
ORD-100597,12/18/2023,Doohickey,2.0,328.24,West,Charlie Lee,Completed
ORD-101341,"Nov 26, 2024",Gadget Y,2.0,290.07,  East  ,Evan Brooks,Completed
ORD-101110,02/02/2023,Gizmo Pro,1.0,48.11,North,Charlie Lee,Completed
ORD-101089,09/25/2024,Gadget X,-1.0,146.2,North,Evan Brooks,Cancelled
ORD-101909,"Apr 13, 2023",Gadget Y,-1.0,83.09,SOUTH,Dana White,Completed
ORD-100706,"Oct 18, 2024",Sprocket,2.0,$445.18,North,Evan Brooks,Refunded
ORD-100653,28-06-2023,GADGET X,3.0,338.23,West ,Evan Brooks,Completed
ORD-101070,05-02-2023,Gadget Y,2.0,339.83,North,Fiona Grant,Refunded
ORD-101507,2023/05/16,  Sprocket  ,2.0,224.71,north,Charlie Lee ,Completed
ORD-100988,"Oct 30, 2023",Widget B,1.0,100.61,South,Charlie Lee,completed
ORD-100009,2023-06-17,Gadget X,1.0,130.87,SOUTH,Charlie Lee,Completed
ORD-100661,09-08-2024,Widget A,3.0,259.64,,Evan Brooks,completed
ORD-101411,"Apr 20, 2024",Widget B,2.0,$486.18, East,alice khan,Completed
ORD-101876,"May 08, 2023",Thingamajig,1.0,483.31,South,Alice Khan,Refunded
ORD-100370,2024/06/16,Doohickey,1.0,94.05,West,Dana White,Completed
ORD-100531,2024-11-09,Thingamajig,,357.39,north,Charlie Lee,Completed
ORD-100647,2023/03/01,Widget B,1.0,369.15,South,alice khan,Completed
ORD-100606,"Jul 19, 2023",Doohickey,4.0,391.74,  East  ,Alice Khan,
ORD-100146,"Jan 12, 2023",Thingamajig,3.0,310.96,,  Bob Smith  ,completed
ORD-101717,2023/06/11,Gadget Y,1.0,495.96,north,,Cancelled
ORD-100287,02-04-2024,Thingamajig,1.0,68.76,East,  Bob Smith  ,Completed
ORD-100294,02/20/2023,Gizmo Pro,1.0,$328.37, East,Bob  Smith,  Completed  
ORD-101354,2024-10-09,Gizmo Pro,1.0,445.28,,Bob Smith,  Cancelled  
ORD-101363,07/17/2023,Gadget X,1.0,,  South  ,Dana White,Completed
ORD-100501,2023-12-27,Gadget X,4.0,,  East  ,Bob Smith,Completed
ORD-101484,06/03/2024,Sprocket,4.0,315.1,East,,Refunded
ORD-101494,05-05-2023,GADGET X,1.0,55.86,South,Alice Khan,  Completed  
ORD-100305,2023/06/02,Widget B,5.0,363.05,West,Dana White,Pending
ORD-101211,2024-11-07,Thingamajig,5.0,-409.43,North,Evan Brooks,Pending
ORD-100273,19-01-2023,  Sprocket  ,3.0,181.74,West,Fiona Grant,Cancelled
ORD-100622,2024-10-23,Widget B,1.0,355.07,SOUTH,Bob Smith,COMPLETED
ORD-101782,11/07/2023,Gadget X,2.0,71.57,West,Charlie Lee,completed
ORD-100626,"Apr 09, 2023",Sprocket,2.0,100.01,  West  ,  Fiona Grant  ,Completed
ORD-100592,06/19/2023,Gadget X,5.0,246.48,SOUTH,,
ORD-101116,2023/12/06,Gizmo Pro,4.0,472.91,North,Bob  Smith,Completed
ORD-101723,13-01-2024,Sprocket,3.0,$357.1,South,Bob  Smith,Completed
ORD-100709,09/27/2024,Thingamajig,2.0,36.35,East,Bob  Smith,Pending
ORD-100208,2024-05-23,Widget B,1.0,270.24,   East  ,Bob Smith,Completed
ORD-100919,"Aug 20, 2023",  Gadget Y  ,0.0,205.26,West ,alice khan,  Pending  
ORD-100043,23-02-2023,Gadget Y,1.0,$300.56,West,Bob  Smith,COMPLETED
ORD-100728,08/15/2023,Thingamajig,2.0,168.88,West ,Evan Brooks,Completed
ORD-101708,2023-11-02,Gadget Y,1.0,331.53,North,Bob  Smith,Completed
ORD-101016,03/05/2023,,4.0,282.64,West ,Dana White,Completed
ORD-100922,"Sep 05, 2024",Widget B,3.0,267.91,north,Bob Smith,Cancelled
ORD-100864,17-03-2024,  Thingamajig  ,3.0,49.19,West ,Alice Khan,Pending
ORD-100331,"Jan 20, 2024",Doohickey,1.0,287.64,East,Dana White,
ORD-100907,06-05-2024,Gizmo Pro,2.0,51.8,South,Fiona Grant,Completed
ORD-101532,09/23/2023,Doohickey,2.0,376.14,South,Alice Khan,  Refunded  
ORD-100553,2023/07/03,Gadget Y,,166.84,SOUTH,Alice Khan,Completed
ORD-100826,07/10/2023,Sprocket,1.0,N/A,  West  ,Dana White,Cancelled
ORD-100576,06-12-2023,  Gadget X  ,1.0,150.56, East,Dana White,COMPLETED
ORD-100060,2024/02/05,Widget A,1.0,296.35,South,Dana White,Refunded
ORD-100386,12/15/2024,Widget B,1.0,243.06, East,Charlie Lee ,  COMPLETED  
ORD-100712,2024-04-29,  Gadget X  ,1.0,204.47,West,Bob Smith,Pending
ORD-100755,"Dec 04, 2024",Gizmo Pro,2.0,$123.05,West,Fiona Grant,
ORD-100850,2023/10/03,Widget A,2.0,432.99,North,Dana White,Completed
ORD-100721,"Nov 26, 2023",Gizmo Pro,1.0,339.99,West ,alice khan,Pending
ORD-101320,02/03/2023,Gadget X,-1.0,460.91, East,alice khan,
ORD-101846,09/16/2023,Gizmo Pro,-1.0,340.21,East,Charlie Lee ,Pending
ORD-100306,2023-10-24,Thingamajig,1.0,310.78,north,Bob  Smith,  Pending  
ORD-101002,06/29/2024,Gizmo Pro,1.0,354.28,West,Bob Smith,completed
ORD-100950,25-01-2024,  Widget B  ,1.0,469.87,East,Fiona Grant,Cancelled
ORD-101258,2023-06-12,Widget A,2.0,$277.04,South,  Fiona Grant  ,Completed
ORD-100667,"Mar 21, 2024",Gizmo Pro,2.0,274.54,north,Bob Smith,Cancelled
ORD-101152,02/01/2024,Widget A,1.0,251.29,north,Evan Brooks,Pending
ORD-100910,2023/10/14,Widget A,4.0,264.06, East,alice khan,Cancelled
ORD-100253,"Apr 10, 2024",GADGET X,1.0,352.46,North,Fiona Grant,COMPLETED
ORD-100199,03/09/2024,Doohickey,4.0,271.0,,Fiona Grant,Cancelled
ORD-101919,2024-02-08,Widget A,1.0,35.83,north,Fiona Grant,completed
ORD-101752,07/20/2024,Widget A,3.0,$463.21,West,alice khan,Completed
ORD-101342,2023-02-25,Gadget X,4.0,217.12,North,,Completed
ORD-101464,2023/03/03,  Widget B  ,1.0,316.14,SOUTH,Dana White,Completed
